"city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi"
"Ames","Schnapps",238474,17199,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Vodka",1770559,150737,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Gin",252404,18756,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Tequila",391863,24764,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Ames","Misc",662596,38830,97.4,63.4,6,12027,64073,53532,1994,123,6146,29,278,1971
"Anamosa","Brandy",10324,762,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Amaretto",1442,182,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Gin",7868,688,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Rum",106719,7642,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Vodka",148315,16417,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Whisky",224886,16470,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Distilled Spirits",2898,200,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Schnapps",37267,2982,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Misc",55608,3160,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anamosa","Tequila",25349,1732,89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40
"Anita","Distilled Spirits",513,23,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Misc",5631,391,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Schnapps",2573,232,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Amaretto",373,35,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Gin",1020,72,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Brandy",3592,327,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Vodka",13878,1599,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Tequila",2493,193,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Rum",6645,474,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Anita","Whisky",32308,2371,92.3,15.9,7.3,27000,870,867,0,0,0,0,3,0
"Ankeny","Tequila",289232,20880,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Schnapps",105542,7326,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Distilled Spirits",28490,1951,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
"Ankeny","Vodka",1233817,102840,97.4,45.9,3.2,40608,53413,50255,658,0,1161,0,101,1238
